covariance_type,n_components,iteration,precision,recall,f1-score
spherical,33,1,0.29846759564621911,0.17726759503199097,0.16864035356436291
spherical,33,2,0.31690821280976184,0.17877305231464058,0.17240308649653391
spherical,33,3,0.27717801024310401,0.17275122318404215,0.15162849128576261
spherical,34,1,0.31312219338940889,0.17576213774934135,0.16394886612751122
spherical,34,2,0.33984839250660104,0.17011667293940536,0.15068520332947744
spherical,34,3,0.3159950120107704,0.17049303726006776,0.15124891403169921
spherical,35,1,0.26035556568532553,0.15430937147158449,0.12831343907885442
spherical,35,2,0.30971627912177402,0.17124576590139254,0.15820638661486414
spherical,35,3,0.3051397897155656,0.17350395182536696,0.15495942606307153
spherical,36,1,0.2970037839516001,0.15732028603688369,0.14236320928871316
spherical,36,2,0.33393141270450399,0.18517124576590138,0.1782969830026728
spherical,36,3,0.37459418181230947,0.18253669552126459,0.1696802088914719
spherical,37,1,0.31807094903215083,0.15957847196085811,0.14258328390875177
spherical,37,2,0.33303276812453719,0.18103123823861497,0.16651755727787679
spherical,37,3,0.29586879948215011,0.15280391418893488,0.13559233553928321
spherical,38,1,0.27008736510235071,0.1580730146782085,0.13576218600188145
spherical,38,2,0.30208056929602251,0.16936394429808055,0.15540012979441506
spherical,38,3,0.29909387038173968,0.16710575837410613,0.14996150625366728
spherical,39,1,0.32788905567488513,0.18178396687993978,0.17115826710462126
spherical,39,2,0.30185145192423085,0.16974030861874295,0.15111428641074034
spherical,39,3,0.28583245401641966,0.16635302973278132,0.13723953701428501
spherical,40,1,0.31427318469375126,0.17764395935265337,0.16483752434413299
spherical,40,2,0.31600640600745233,0.16785848701543093,0.14978514369571674
spherical,40,3,0.29168557880267137,0.16484757245013174,0.14698414852310107
spherical,41,1,0.33694728326126255,0.17350395182536696,0.14926019863747811
spherical,41,2,0.31784007080230686,0.17764395935265337,0.1670716496922067
spherical,41,3,0.28440326357421614,0.1576966503575461,0.13782032026807062
spherical,42,1,0.26851760998656776,0.17350395182536696,0.1480314844934528
spherical,42,2,0.30656730450828723,0.18027850959729017,0.16745126033817809
spherical,42,3,0.29795887417947359,0.17651486639066616,0.15538663039770972
spherical,43,1,0.28693622692974557,0.17877305231464058,0.15873226636097754
spherical,43,2,0.30820268832947556,0.17802032367331577,0.16441391900714497
spherical,43,3,0.32435198015693212,0.190440346255175,0.18081601762932642
spherical,44,1,0.30633836164799327,0.16861121565675574,0.14651013834063661
spherical,44,2,0.29709298007551088,0.18103123823861497,0.1585921491727533
spherical,44,3,0.30933954569097605,0.1844185171245766,0.16416773199949397
spherical,45,1,0.32733433493891823,0.18855852465186301,0.17263190214573268
spherical,45,2,0.31241729246016614,0.17839668799397818,0.16409307609376181
spherical,45,3,0.30328558582223997,0.16785848701543093,0.15186688317578903
spherical,46,1,0.31348198507499686,0.1896876176138502,0.17633215415288928
spherical,46,2,0.30847780630602867,0.18592397440722619,0.1701253384122024
spherical,46,3,0.30925507602219088,0.17538577342867895,0.15221442981511024
spherical,47,1,0.30974498448546844,0.19646217538577343,0.17831944300738489
