covariance_type,n_components,iteration,precision,recall,f1-score
spherical,23,3,0.90216493828753674,0.8897252540459164,0.89302708064704028
spherical,24,1,0.91137521996760451,0.90402709823108773,0.90637786904106865
spherical,24,2,0.90230107916146274,0.89725254045916447,0.89901677460179741
spherical,24,3,0.90990005681620112,0.90214527662777566,0.90455324810523452
spherical,25,1,0.90499817330769494,0.89762890477982682,0.90006709107998739
spherical,25,2,0.90450113869145299,0.89988709070380124,0.90142457372381135
spherical,25,3,0.90641901443298434,0.89951072638313889,0.90176476644292358
spherical,26,1,0.90808016610964781,0.90440346255175008,0.90565393321920529
spherical,26,2,0.90278227474131734,0.8946179902145277,0.89698296796721078
spherical,26,3,0.90620372088961232,0.9002634550244637,0.90211893325966974
spherical,27,1,0.89861944279100636,0.89160707564922848,0.89392614437999385
spherical,27,2,0.9097826217267021,0.90553255551373735,0.9069175046455753
spherical,27,3,0.90751014210920045,0.90063981934512605,0.90285128954233651
spherical,28,1,0.90594119523112859,0.90101618366578851,0.90268105052117376
spherical,28,2,0.89865506590593514,0.89123071132856602,0.89364683400486189
spherical,28,3,0.89986455886341743,0.89348889725254044,0.89529748768939188
spherical,29,1,0.90868391269950899,0.90440346255175008,0.90585041357861107
spherical,29,2,0.90821448461799492,0.89951072638313889,0.90195767750576217
spherical,29,3,0.90141749232658752,0.89537071885585251,0.89739000023617743
spherical,30,1,0.90919708270255317,0.90176891230711331,0.90376550392499189
spherical,30,2,0.9139354292218449,0.91004892736168608,0.91136785993173508
spherical,30,3,0.91557965906065475,0.91268347760632296,0.9136563499731557
spherical,31,1,0.90437187062612323,0.89988709070380124,0.90139818414448436
spherical,31,2,0.91409328317984551,0.90967256304102373,0.91093181703160864
spherical,31,3,0.90017399731843517,0.89499435453519005,0.8964570885084655
spherical,32,1,0.904465832283469,0.89988709070380124,0.9014187350732793
spherical,32,2,0.90317931201826029,0.89725254045916447,0.89925917831806057
spherical,32,3,0.91361650654729243,0.91004892736168608,0.91101521455878554
spherical,33,1,0.89955824153694497,0.89424162589386524,0.89548304781525245
spherical,33,2,0.92247583688866608,0.91719984945427169,0.91881965843908198
spherical,33,3,0.90882676249569239,0.90515619119307489,0.90607265923612079
spherical,34,1,0.91353155191687241,0.91042529168234854,0.91133812941147274
spherical,34,2,0.92471980328226189,0.92133985698155818,0.92236578473476727
spherical,34,3,0.9045562412476863,0.90101618366578851,0.90191666884987942
spherical,35,1,0.91093799769412753,0.90402709823108773,0.905739228826141
spherical,35,2,0.90945922725786421,0.90703801279638685,0.90774889989719465
spherical,35,3,0.9053191025287175,0.89951072638313889,0.90127492470067072
spherical,36,1,0.90561453428965699,0.90214527662777566,0.90295537116057212
spherical,36,2,0.90675697448505344,0.90402709823108773,0.90474130919453399
spherical,36,3,0.90569977124675816,0.90214527662777566,0.90331112656059953
spherical,37,1,0.91195937615225142,0.90703801279638685,0.9086319901060087
spherical,37,2,0.9165458647669259,0.91418893488897257,0.91485072153194746
spherical,37,3,0.91238282427000661,0.90967256304102373,0.91046600279920054
spherical,38,1,0.91712416701351784,0.91381257056831011,0.91469128555268675
spherical,38,2,0.90983297922285133,0.9066616484757245,0.90765375091422873
spherical,38,3,0.91106046217068459,0.90816710575837412,0.90894595804148859
spherical,39,1,0.91967629184682009,0.91832894241625895,0.9185882055224055
spherical,39,2,0.91889383953450943,0.91607075649228453,0.91692412450254412
spherical,39,3,0.90454757593486035,0.9002634550244637,0.90163420835082131
spherical,40,1,0.91020371277565537,0.90779074143771166,0.90846021909921115
spherical,40,2,0.90727169444463918,0.90477982687241254,0.9054491256138637
spherical,40,3,0.90709908859832289,0.90252164094843812,0.90343852331520025
spherical,41,1,0.91396226123530244,0.91080165600301088,0.91147660111389261
